Participant,Eye-movement
DLT001,"[1,2,3,4,5,10,20,23]"
DLT002,"[1,2,3,4,5,6]"
DLT003,"[1,2,3,4,5,7,10,15,19,21,32]"
DLT004,"[10,11]"
DLT005,"[1,3,4,5,30]"
DLT006,"[1,2,3,5,6,11]"
DLT007,"[1,2,4,5,7,10,26]"
DLT008,"[1,2,3,5,11,14]"
DLT009,"[1,3,5]"
DLT010,"[1,2,3,4,6,9,10,16,20]"
DLT011,"[1,2,3,5]"
DLT012,"[1,2,3,5,6,8,9,10,12,18]"
DLT013,"[1,2,3,4,5,6,7,9,10,11,12,13,15,16,18,20,31]"
DLT014,"[3,4,5,9,16]"
DLT015,"[1,2,4,5,7,26]"
DLT016,"[1,2,3,4,6,8,14,18,20,22]"
DLT017,"[1,2,4,8,11,13,22,23,24,32]"
DLT018,"[1,2,3,4,5,6,20]"
DLT019,"[3,4,5,6,10]"
DLT020,"[1,2,4,12]"
DLT021,"[1,2,4,5,10,13]"
DLT022,"[1,2,3,4,5,6,7,17]"
DLT023,"[1,2,4,7,12,32]"
DLT024,"[1,2,3,4]"
DLT025,"[1,2,5,6,13,16]"
DLT026,[]
DLT027,"[1,2,3,4,5,6]"
DLT028,"[1,2,13]"
DLT029,"[1,2,6]"
DLT030,"[1,2,13]"
DLT031,"[1,2,3,4,6,18]"
DLT032,"[1,2,3,6,9]"
DLT033,"[1,2,3,6,32]"
DLT034,"[1,2,3,4,5,7,8]"
DLT035,"[1,2,3,4,5,19]"
DLT036,"[2,3,4,5,8,10]"
DLT037,"[1,2,6]"
DLT038,"[1,2,16]"
DLT039,"[1,3,5,14]"
DLT040,"[1,2,5,7]"
DLT041,"[1,2,3,4,5]"